option_type,strike,vol,maturity,time,tau,method,detail,max_rel,p99_rel,mae,max_abs
call,80.000000,0.400000,2.000000,0.400000,1.600000,log Chebyshev,"d1, degree=7",0.0022093535,0.0022067024,0.0475391527,0.5956391839
call,80.000000,0.400000,2.000000,0.400000,1.600000,log polynomial,"spot, degree=9",0.1950536125,0.1886896797,5.5649334000,66.3283409279
call,80.000000,0.400000,2.000000,0.800000,1.200000,log B-spline,"d1, knots=12",0.0037390317,0.0037314289,0.0229165769,0.2162062013
call,80.000000,0.400000,2.000000,0.800000,1.200000,log Chebyshev,"d1, degree=7",0.0037284221,0.0037218138,0.0235815812,0.1480053256
call,80.000000,0.400000,2.000000,0.800000,1.200000,log polynomial,"spot, degree=9",0.0975824592,0.0876276923,2.2283590823,25.8464334256
call,80.000000,0.400000,2.000000,1.200000,0.800000,log B-spline,"d1, knots=12",0.0046111605,0.0045687960,0.0139684918,0.0682964951
call,80.000000,0.400000,2.000000,1.200000,0.800000,log Chebyshev,"d1, degree=7",0.0047734846,0.0047614278,0.0140914990,0.0414245309
call,80.000000,0.400000,2.000000,1.200000,0.800000,log polynomial,"spot, degree=9",0.0312197615,0.0242072876,0.5307344262,5.8922579055
call,80.000000,0.400000,2.000000,1.600000,0.400000,log B-spline,"d1, knots=12",0.0018862167,0.0018613826,0.0083514193,0.0433282289
call,80.000000,0.400000,2.000000,1.600000,0.400000,log Chebyshev,"d1, degree=7",0.0013697715,0.0012609244,0.0092760585,0.1591275308
call,80.000000,0.400000,2.000000,1.600000,0.400000,log polynomial,"spot, degree=9",0.0040144045,0.0036530752,0.0401825897,0.4460497852
call,100.000000,0.100000,0.500000,0.100000,0.400000,log B-spline,"d1, knots=12",0.0026540648,0.0026396752,0.0014851903,0.0066941254
call,100.000000,0.100000,0.500000,0.100000,0.400000,log Chebyshev,"d1, degree=7",0.0018050709,0.0018009552,0.0018182634,0.0103350249
call,100.000000,0.100000,0.500000,0.100000,0.400000,log polynomial,"spot, degree=9",0.0021377598,0.0021350833,0.0053880522,0.0385688147
call,100.000000,0.100000,0.500000,0.200000,0.300000,log B-spline,"d1, knots=12",0.0067867563,0.0063630060,0.0012296427,0.0065659468
call,100.000000,0.100000,0.500000,0.200000,0.300000,log Chebyshev,"d1, degree=7",0.0030645348,0.0029347229,0.0008960162,0.0065243539
call,100.000000,0.100000,0.500000,0.200000,0.300000,log polynomial,"spot, degree=9",0.0028708628,0.0028637490,0.0096510237,0.0569128172
call,100.000000,0.100000,0.500000,0.300000,0.200000,log B-spline,"d1, knots=12",0.0029633436,0.0027916539,0.0013704837,0.0071136497
call,100.000000,0.100000,0.500000,0.300000,0.200000,log Chebyshev,"d1, degree=7",0.0014711699,0.0014594056,0.0013965187,0.0165432767
call,100.000000,0.100000,0.500000,0.300000,0.200000,log polynomial,"spot, degree=9",0.0145851174,0.0102260589,0.0226088419,0.2595895463
call,100.000000,0.100000,0.500000,0.400000,0.100000,log B-spline,"d1, knots=12",0.0050241070,0.0049705103,0.0003516484,0.0011271640
call,100.000000,0.100000,0.500000,0.400000,0.100000,log Chebyshev,"d1, degree=7",0.0009470798,0.0009457844,0.0006744447,0.0048428084
call,100.000000,0.100000,0.500000,0.400000,0.100000,log polynomial,"spot, degree=9",0.0291219836,0.0205891075,0.0287834769,0.3600041756
call,100.000000,0.100000,1.000000,0.200000,0.800000,log B-spline,"d1, knots=12",0.0039338895,0.0039015802,0.0020934459,0.0074826990
call,100.000000,0.100000,1.000000,0.200000,0.800000,log Chebyshev,"d1, degree=7",0.0017999152,0.0017947851,0.0032147647,0.0299059430
call,100.000000,0.100000,1.000000,0.200000,0.800000,log polynomial,"spot, degree=9",0.0015853585,0.0013987594,0.0060623047,0.0592643882
call,100.000000,0.100000,1.000000,0.400000,0.600000,log B-spline,"d1, knots=12",0.0040276855,0.0039844673,0.0014344605,0.0050087934
call,100.000000,0.100000,1.000000,0.400000,0.600000,log Chebyshev,"d1, degree=7",0.0020049349,0.0019987571,0.0053298717,0.0500148210
call,100.000000,0.100000,1.000000,0.400000,0.600000,log polynomial,"spot, degree=9",0.0024916718,0.0014083851,0.0059246517,0.0797618367
call,100.000000,0.100000,1.000000,0.600000,0.400000,log B-spline,"d1, knots=12",0.0023792986,0.0023565095,0.0014542941,0.0091109642
call,100.000000,0.100000,1.000000,0.600000,0.400000,log Chebyshev,"d1, degree=7",0.0015326979,0.0015274547,0.0018326636,0.0107452643
call,100.000000,0.100000,1.000000,0.600000,0.400000,log polynomial,"spot, degree=9",0.0015984853,0.0014713179,0.0054221509,0.0411528936
call,100.000000,0.100000,1.000000,0.800000,0.200000,log B-spline,"d1, knots=12",0.0020267545,0.0019947722,0.0008895170,0.0038844813
call,100.000000,0.100000,1.000000,0.800000,0.200000,log Chebyshev,"d1, degree=7",0.0012748595,0.0012708806,0.0018262676,0.0224725871
call,100.000000,0.100000,1.000000,0.800000,0.200000,log polynomial,"spot, degree=9",0.0156127187,0.0110202417,0.0243138105,0.2778790488
call,100.000000,0.100000,2.000000,0.400000,1.600000,log B-spline,"d1, knots=12",0.0026712990,0.0026639633,0.0017076781,0.0091898626
call,100.000000,0.100000,2.000000,0.400000,1.600000,log Chebyshev,"d1, degree=7",0.0022170309,0.0022128369,0.0028820515,0.0271658178
call,100.000000,0.100000,2.000000,0.400000,1.600000,log polynomial,"spot, degree=9",0.0022327362,0.0022303275,0.0034893612,0.0219912013
call,100.000000,0.100000,2.000000,0.800000,1.200000,log B-spline,"d1, knots=12",0.0063658293,0.0061273514,0.0023363845,0.0133821613
call,100.000000,0.100000,2.000000,0.800000,1.200000,log Chebyshev,"d1, degree=7",0.0049272917,0.0046684048,0.0021347538,0.0205633717
call,100.000000,0.100000,2.000000,0.800000,1.200000,log polynomial,"spot, degree=9",0.0053916067,0.0052782252,0.0047137095,0.0297985365
call,100.000000,0.100000,2.000000,1.200000,0.800000,log B-spline,"d1, knots=12",0.0028261152,0.0028011570,0.0022410438,0.0090860262
call,100.000000,0.100000,2.000000,1.200000,0.800000,log Chebyshev,"d1, degree=7",0.0035357142,0.0035250153,0.0022477722,0.0115590393
call,100.000000,0.100000,2.000000,1.200000,0.800000,log polynomial,"spot, degree=9",0.0029361931,0.0028124541,0.0034263620,0.0419746621
call,100.000000,0.100000,2.000000,1.600000,0.400000,log B-spline,"d1, knots=12",0.0020776884,0.0020408504,0.0009448117,0.0039089979
call,100.000000,0.100000,2.000000,1.600000,0.400000,log Chebyshev,"d1, degree=7",0.0013988493,0.0013953237,0.0029950266,0.0293636785
call,100.000000,0.100000,2.000000,1.600000,0.400000,log polynomial,"spot, degree=9",0.0019131365,0.0014422943,0.0057646618,0.0492535678
call,100.000000,0.200000,0.500000,0.100000,0.400000,log B-spline,"d1, knots=12",0.0025215750,0.0025036799,0.0042307708,0.0147123439
call,100.000000,0.200000,0.500000,0.100000,0.400000,log Chebyshev,"d1, degree=7",0.0014362789,0.0014341736,0.0033143439,0.0232628174
call,100.000000,0.200000,0.500000,0.100000,0.400000,log polynomial,"spot, degree=9",0.0014477686,0.0014456315,0.0027453400,0.0114732929
call,100.000000,0.200000,0.500000,0.200000,0.300000,log B-spline,"d1, knots=12",0.0037485379,0.0037294003,0.0024711938,0.0090891658
